"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"P1_001N"," !!Total:"
"P1_001NA","Annotation of  !!Total:"
"P1_002N"," !!Total:!!Population of one race:"
"P1_002NA","Annotation of  !!Total:!!Population of one race:"
"P1_003N"," !!Total:!!Population of one race:!!White alone"
"P1_003NA","Annotation of  !!Total:!!Population of one race:!!White alone"
"P1_004N"," !!Total:!!Population of one race:!!Black or African American alone"
"P1_004NA","Annotation of  !!Total:!!Population of one race:!!Black or African American alone"
"P1_005N"," !!Total:!!Population of one race:!!American Indian and Alaska Native alone"
"P1_005NA","Annotation of  !!Total:!!Population of one race:!!American Indian and Alaska Native alone"
"P1_006N"," !!Total:!!Population of one race:!!Asian alone"
"P1_006NA","Annotation of  !!Total:!!Population of one race:!!Asian alone"
"P1_007N"," !!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone"
"P1_007NA","Annotation of  !!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone"
"P1_008N"," !!Total:!!Population of one race:!!Some Other Race alone"
"P1_008NA","Annotation of  !!Total:!!Population of one race:!!Some Other Race alone"
"P1_009N"," !!Total:!!Population of two or more races:"
"P1_009NA","Annotation of  !!Total:!!Population of two or more races:"
"P1_010N"," !!Total:!!Population of two or more races:!!Population of two races:"
"P1_010NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:"
"P1_011N"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Black or African American"
"P1_011NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; Black or African American"
"P1_012N"," !!Total:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native"
"P1_012NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native"
"P1_013N"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Asian"
"P1_013NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; Asian"
"P1_014N"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Native Hawaiian and Other Pacific Islander"
"P1_014NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; Native Hawaiian and Other Pacific Islander"
"P1_015N"," !!Total:!!Population of two or more races:!!Population of two races:!!White; Some Other Race"
"P1_015NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!White; Some Other Race"
"P1_016N"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native"
"P1_016NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native"
"P1_017N"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Asian"
"P1_017NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Asian"
"P1_018N"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Native Hawaiian and Other Pacific Islander"
"P1_018NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Native Hawaiian and Other Pacific Islander"
"P1_019N"," !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Some Other Race"
"P1_019NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; Some Other Race"
"P1_020N"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Asian"
"P1_020NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Asian"
"P1_021N"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
"P1_021NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
"P1_022N"," !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Some Other Race"
"P1_022NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!American Indian and Alaska Native; Some Other Race"
"P1_023N"," !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Native Hawaiian and Other Pacific Islander"
"P1_023NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Native Hawaiian and Other Pacific Islander"
"P1_024N"," !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Some Other Race"
"P1_024NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Asian; Some Other Race"
"P1_025N"," !!Total:!!Population of two or more races:!!Population of two races:!!Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_025NA","Annotation of  !!Total:!!Population of two or more races:!!Population of two races:!!Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_026N"," !!Total:!!Population of two or more races:!!Population of three races:"
"P1_026NA","Annotation of  !!Total:!!Population of two or more races:!!Population of three races:"
"P1_027N"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; American Indian and Alaska Native"
"P1_027NA","Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; American Indian and Alaska Native"
"P1_028N"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Asian"
"P1_028NA","Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Asian"
"P1_029N"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander"
"P1_029NA","Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander"
"P1_030N"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Some Other Race"
"P1_030NA","Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!White; Black or African American; Some Other Race"
"P1_031N"," !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Asian"
"P1_031NA","Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Asian"
"P1_032N"," !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
"P1_032NA","Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
"P1_033N"," !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Some Other Race"
"P1_033NA","Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!White; American Indian and Alaska Native; Some Other Race"
"P1_034N"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Asian; Native Hawaiian and Other Pacific Islander"
"P1_034NA","Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!White; Asian; Native Hawaiian and Other Pacific Islander"
"P1_035N"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Asian; Some Other Race"
"P1_035NA","Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!White; Asian; Some Other Race"
"P1_036N"," !!Total:!!Population of two or more races:!!Population of three races:!!White; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_036NA","Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!White; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_037N"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Asian"
"P1_037NA","Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Asian"
"P1_038N"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
"P1_038NA","Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
"P1_039N"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Some Other Race"
"P1_039NA","Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; American Indian and Alaska Native; Some Other Race"
"P1_040N"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander"
"P1_040NA","Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander"
"P1_041N"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Some Other Race"
"P1_041NA","Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Asian; Some Other Race"
"P1_042N"," !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_042NA","Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_043N"," !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"
"P1_043NA","Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"
"P1_044N"," !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Some Other Race"
"P1_044NA","Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Asian; Some Other Race"
"P1_045N"," !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_045NA","Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_046N"," !!Total:!!Population of two or more races:!!Population of three races:!!Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_046NA","Annotation of  !!Total:!!Population of two or more races:!!Population of three races:!!Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_047N"," !!Total:!!Population of two or more races:!!Population of four races:"
"P1_047NA","Annotation of  !!Total:!!Population of two or more races:!!Population of four races:"
"P1_048N"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Asian"
"P1_048NA","Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Asian"
"P1_049N"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
"P1_049NA","Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander"
"P1_050N"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Some Other Race"
"P1_050NA","Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; American Indian and Alaska Native; Some Other Race"
"P1_051N"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander"
"P1_051NA","Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander"
"P1_052N"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Asian; Some Other Race"
"P1_052NA","Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Asian; Some Other Race"
"P1_053N"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_053NA","Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_054N"," !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"
"P1_054NA","Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"
"P1_055N"," !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Asian; Some Other Race"
"P1_055NA","Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Asian; Some Other Race"
"P1_056N"," !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_056NA","Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_057N"," !!Total:!!Population of two or more races:!!Population of four races:!!White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_057NA","Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_058N"," !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"
"P1_058NA","Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"
"P1_059N"," !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Asian; Some Other Race"
"P1_059NA","Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Asian; Some Other Race"
"P1_060N"," !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_060NA","Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_061N"," !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_061NA","Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_062N"," !!Total:!!Population of two or more races:!!Population of four races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_062NA","Annotation of  !!Total:!!Population of two or more races:!!Population of four races:!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_063N"," !!Total:!!Population of two or more races:!!Population of five races:"
"P1_063NA","Annotation of  !!Total:!!Population of two or more races:!!Population of five races:"
"P1_064N"," !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"
"P1_064NA","Annotation of  !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander"
"P1_065N"," !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race"
"P1_065NA","Annotation of  !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race"
"P1_066N"," !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_066NA","Annotation of  !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_067N"," !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_067NA","Annotation of  !!Total:!!Population of two or more races:!!Population of five races:!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_068N"," !!Total:!!Population of two or more races:!!Population of five races:!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_068NA","Annotation of  !!Total:!!Population of two or more races:!!Population of five races:!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_069N"," !!Total:!!Population of two or more races:!!Population of five races:!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_069NA","Annotation of  !!Total:!!Population of two or more races:!!Population of five races:!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_070N"," !!Total:!!Population of two or more races:!!Population of six races:"
"P1_070NA","Annotation of  !!Total:!!Population of two or more races:!!Population of six races:"
"P1_071N"," !!Total:!!Population of two or more races:!!Population of six races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
"P1_071NA","Annotation of  !!Total:!!Population of two or more races:!!Population of six races:!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
